№;Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount;Russian language,GPA;Russian language,spravlyaemost;Mathematics profil,amount;Mathematics profil,GPA;Mathematics profil,spravlyaemost;Mathematics base,amount;Mathematics base,GPA;Mathematics base,spravlyaemost;Physics ,amount;Physics,GPA;Physics,spravlyaemost;Chemistry ,amount;Chemistry ,GPA;Chemistry,spravlyaemost;Biology,amount;Biology ,GPA;Biology,spravlyaemost;Geography ,amount;Geography ,GPA;Geography,spravlyaemost;Computer science ,amount;Computer science ,GPA;Computer science,spravlyaemost;Literature ,amount;Literature ,GPA;Literature,spravlyaemost;History ,amount;History ,GPA;History,spravlyaemost;Social Studies ,amount;Social Studies ,GPA;Social Studies,spravlyaemost;English ,amount;English ,GPA;English,spravlyaemost;German ,amount;German ,GPA;German,spravlyaemost;French ,amount;French ,GPA;French,spravlyaemost;Lat;Long
57;760604;г. Ярославль;18;"Муниципальное общеобразовательное учреждение ""Средняя школа № 18""";150048, Ярославская обл., г. Ярославль, ул. Слепнева, д.26;Антонова Надежда Валентиновна;4852;440350;yarsch018@yandex.ru;http://school18.edu.yar.ru;42;74,9;100;30;47,8;83,3;42;4,5;100;7;47,6;100;5;57,4;80;7;63,6;100;;;;4;53,3;100;3;66,7;100;9;51,8;100;28;61,6;96,4;5;76,6;100;;;;;;;57.580979;39.859156
58;760201;г. Ярославль;2;"Муниципальное общеобразовательное учреждение ""Средняя школа № 2""";150055, Ярославская обл., г. Ярославль, пр-т Авиаторов, д.84;Семенова Лидия Павловна;4852;740304;yarsch002@yandex.ru;http://www.school2.yaroslavl.ru;55;78,2;100;38;48,1;89,5;54;4,5;100;7;43,4;85,7;4;45,8;75;13;53,8;92,3;;;;7;71,7;100;5;55,8;100;12;61;100;42;61,5;100;3;58,7;100;;;;;;;57.651904;39.94067
59;760605;г. Ярославль;21;"Муниципальное общеобразовательное учреждение ""Средняя школа № 21 имени А.М. Достоевского""";150006, Ярославская обл., г. Ярославль, ул. Ильинская, д.14;Киселев Валерий Анатольевич;4852;410976;yarsch021@yandex.ru;http://school21.edu.yar.ru;29;71,2;100;21;48,5;90,5;29;4,4;100;4;39,8;100;3;56,7;100;5;54,8;80;2;64;100;2;43;50;2;45;100;5;49,2;80;25;54,2;84;3;67;100;;;;;;;57.579498;39.919919
60;760607;г. Ярославль;23;"Муниципальное общеобразовательное учреждение ""Средняя школа № 23""";150006, Ярославская обл., г. Ярославль, ул. Светлая, д.36;Тоболкина Ирина Сергеевна;4852;488171;yarsch23@yandex.ru;http://school23.edu.yar.ru;30;69,4;100;17;55,3;94,1;25;4,4;100;2;56;100;3;61;100;3;77,3;100;2;82,5;100;3;61,7;100;;;;8;54,6;100;19;52,3;78,9;1;39;100;;;;;;;57.56958;39.929288
61;760304;г. Ярославль;25;"Муниципальное общеобразовательное учреждение ""Средняя школа № 25 имени Александра Сивагина""";150054, Ярославская обл., г. Ярославль, ул. Угличская, д.27;Вязниковцева Ольга Леонидовна;4852;216353;yarsch025@yandex.ru;http://yarshkola25.edusite.ru;19;68,4;100;14;37,4;64,3;19;4,2;100;4;40,8;75;4;54,5;100;8;45,5;75;1;42;100;2;51;50;1;54;100;5;36,2;80;14;43,9;57,1;1;44;100;;;;;;;57.629296;39.843274
62;760105;г. Ярославль;26;"Муниципальное общеобразовательное учреждение ""Средняя школа № 26""";150033, Ярославская обл., г. Ярославль, ул. Блюхера, д.74;Дмитриева Любовь Валентиновна;4852;575465;yarsch026@yandex.ru;http://ярсош26.рф/;42;72,3;100;31;44,4;87,1;43;4,2;100;11;42,7;81,8;5;33,6;60;13;44,4;76,9;1;62;100;6;50,7;83,3;2;59,5;100;3;53;100;26;54,3;92,3;;;;;;;;;;57.691944;39.799104
63;760106;г. Ярославль;27;"Муниципальное общеобразовательное учреждение ""Средняя школа № 27""";150052, Ярославская обл., г. Ярославль, ул. Труфанова, д.4;Волчихина Инна Валентиновна;4852;569694;yarsch027@yandex.ru;http://school27.edu.yar.ru;15;65,2;100;10;41,2;90;15;4,3;100;1;32;0;2;54,5;100;6;48;83,3;;;;1;57;100;;;;;;;11;53,3;90,9;;;;;;;;;;57.67931;39.78492
64;760608;г. Ярославль;28;"муниципальное общеобразовательное учреждение ""Средняя школа № 28""";150035, Ярославская обл., г. Ярославль, ул. Калинина, д.35а;Зыкова Ольга Викторовна;4852;449845;yarsch028@yandex.ru;http://76202s028.edusite.ru;26;79,8;100;22;48;81,8;26;4,6;100;4;57;100;2;46,5;100;8;65,6;100;2;77;100;2;43;100;;;;5;59,4;100;15;61,2;93,3;;;;;;;;;;57.57139;39.866693
65;760107;г. Ярославль;29;"Муниципальное общеобразовательное учреждение ""Средняя школа № 29""";150061, Ярославская обл., г. Ярославль, Архангельский пр., д.13;Матвеев Алексей Владимирович;4852;554034;school029@yandex.ru;http://school29.edu.yar.ru;21;65;100;18;43,2;88,9;19;4,2;100;7;43,3;100;;;;5;42;60;;;;2;34,5;50;;;;3;48,7;100;18;54,7;94,4;;;;;;;;;;57.677982;39.769756
66;760501;г. Ярославль;3;"Муниципальное общеобразовательное учреждение ""Средняя школа № 3""";150043, Ярославская обл., г. Ярославль, ул. Жукова, д.7а;Истратий Елена Константиновна;4852;734640;yarsch003@yandex.ru;http://school3.edu.yar.ru;19;66,9;100;15;36,9;73,3;18;4,2;100;5;42,6;80;2;47,5;50;9;39;55,6;1;46;100;1;51;100;1;68;100;4;46,5;100;15;48,4;86,7;2;55;100;;;;;;;57.641038;39.829862
67;760504;г. Ярославль;30;"Муниципальное общеобразовательное учреждение ""Средняя школа № 30""";150031, Ярославская обл., г. Ярославль, ул. Угличская, д.60;Птицына Надежда Юрьевна;4852;517338;yarsch030@yandex.ru;http://school30.edu.yar.ru;25;70,1;100;16;41,8;100;18;4;100;6;44;100;2;50,5;100;6;44,8;100;4;49,5;100;;;;1;47;100;3;67,7;100;17;57,2;94,1;1;50;100;;;;;;;57.634534;39.818364
68;760405;г. Ярославль;31;"Муниципальное общеобразовательное учреждение ""Средняя школа № 31""";150046, Ярославская обл., г. Ярославль, ул. Нефтяников, д.26;Алешина Татьяна Николаевна;4852;310535;yarsch031@yandex.ru;http://school31.edu.yar.ru;34;73,9;100;29;44;82,8;34;4,4;100;11;42,3;81,8;3;65;100;8;56,3;62,5;;;;;;;2;58,5;100;9;52,7;100;23;53,8;87;1;48;100;;;;;;;57.583923;39.828443
69;760305;г. Ярославль;33;"муниципальное общеобразовательное учреждение ""Средняя школа № 33 им. К. Маркса с углублённым изучением математики""";150000, Ярославская обл., г. Ярославль, ул. Собинова, д.22;Головлёв Михаил Алексеевич;4852;305625;yarsch033@yandex.ru;http://www.33-school.yaroslavl.ru;75;85,5;100;74;75,5;100;20;4,9;100;25;68,1;100;13;73,4;100;12;71,8;100;;;;38;81,1;100;2;49,5;100;7;66,3;100;19;73;100;8;76,4;100;;;;;;;57.628135;39.881462
70;760505;г. Ярославль;36;"Муниципальное общеобразовательное учреждение ""Средняя школа № 36""";150054, Ярославская обл., г. Ярославль, ул. Щапова, д.14;Каретина Елена Львовна;4852;738286;yarsch036@yandex.ru;http://school36.edu.yar.ru;74;78,1;100;44;54,3;95,5;67;4,3;100;9;54,7;100;12;55,3;91,7;15;62,7;93,3;1;55;100;8;65,1;100;11;61,6;100;10;56,4;100;47;63,9;100;8;74,3;100;;;;;;;57.63345;39.854638
71;760506;г. Ярославль;37;"Муниципальное общеобразовательное учреждение ""Средняя школа № 37 с углубленным изучением английского языка""";150003, Ярославская обл., г. Ярославль, ул. Советская, д.66;Евстратова Екатерина Сергеевна;4852;736740;yarsch037@yandex.ru;http://school37.edu.yar.ru;27;80,7;100;23;43,3;95,7;15;4,7;100;2;50,5;100;1;57;100;2;53;100;;;;6;64,3;100;4;68,5;100;1;45;100;15;64,8;100;15;76;100;;;;;;;57.63873;39.880123
72;760109;г. Ярославль;39;"Муниципальное общеобразовательное учреждение ""Средняя школа № 39""";150044, Ярославская обл., г. Ярославль, ул. Урицкого, д.32а;Волкова Ольга Николаевна;4852;564004;yarsch039@yandex.ru;http://school39.edu.yar.ru;39;61,5;100;27;26,5;51,9;39;3,8;100;4;43,5;100;2;39,5;50;11;40;45,5;1;52;100;;;;3;57,7;100;4;36;75;35;48,7;77,1;1;66;100;;;;;;;57.685647;39.796185
73;760302;г. Ярославль;4;"Муниципальное общеобразовательное учреждение ""Средняя школа № 4 имени Н.А.Некрасова с углубленным изучением английского языка""";150000, Ярославская обл., г. Ярославль, ул. Волкова, д.5;Высочанская Наталья Петровна;4852;745311;yarsch004@yandex.ru;http://school4.edu.yar.ru;50;84,3;100;26;53,2;84,6;48;4,6;100;2;56;100;7;53,7;71,4;8;61,4;100;1;69;100;5;52,6;100;13;65;100;15;55;93,3;36;65;97,2;38;81,5;100;;;;;;;57.629128;39.893957
74;760407;г. Ярославль;40;"Муниципальное общеобразовательное учреждение ""Средняя школа № 40""";150002, Ярославская обл., г. Ярославль, ул. Будкина, д.11;Клёпова Светлана Станиславовна;4852;214485;yarsch040@yandex.ru;http://school40.edu.yar.ru;30;66,7;100;19;35,7;73,7;30;4,1;96,7;6;37,7;83,3;1;50;100;7;53,4;100;;;;1;42;100;2;64;100;4;45,3;100;26;47,8;73,1;;;;;;;;;;57.607528;39.83359
75;760306;г. Ярославль;42;"Муниципальное общеобразовательное учреждение ""Средняя школа № 42 им. Н.П. Гусева с углубленным изучением французского языка""";150014, Ярославская обл., г. Ярославль, ул. С.-Щедрина, д.42а;Галочкина Наталия Владимировна;4852;726362;yarsch42@yandex.ru;http://school42.edu.yar.ru;55;80,8;100;33;50,2;90,9;42;4,4;100;9;54,1;100;10;69,9;100;12;69,9;100;;;;;;;7;66;100;11;53,5;90,9;32;59,7;96,9;3;59,3;100;;;;16;78,3;100;57.624058;39.863962
76;760307;г. Ярославль;43;"Муниципальное общеобразовательное учреждение ""Средняя школа № 43 им. А.С. Пушкина с углубленным изучением немецкого языка""";150000, Ярославская обл., г. Ярославль, ул. Б.Октябрьская, д.64а;Борецкая Майя Валерьевна;4852;728611;yarsch043@yandex.ru;http://76202s043.edusite.ru;56;80,4;100;35;52,9;97,1;47;4,6;100;7;51,9;100;10;65,7;100;11;67,2;90,9;;;;10;62,4;90;5;54,8;100;9;67,2;100;26;66,2;92,3;3;57,3;66,7;12;83,7;100;;;;57.622096;39.873754
77;760508;г. Ярославль;44;"муниципальное общеобразовательное учреждение ""Средняя школа № 44""";150040, Ярославская обл., г. Ярославль, ул. Победы, д.28;Бабунина Светлана Юрьевна;4852;250895;yarsch044@yandex.ru;http://school44.edu.yar.ru;41;65,5;100;25;38,8;84;36;4;97,2;11;43,8;90,9;1;62;100;10;28,9;10;6;42,8;83,3;5;52,4;100;1;63;100;9;36,8;66,7;30;45;66,7;;;;;;;;;;57.633517;39.870619
78;760205;г. Ярославль;47;"Муниципальное общеобразовательное учреждение ""Средняя школа № 47""";150008, Ярославская обл., г. Ярославль, ул. Клубная, д.23;Мазурец Елена Николаевна;4852;249206;yarsch047@yandex.ru;http://school47.edu.yar.ru;21;63,2;100;11;36,4;81,8;21;4;100;5;43,4;100;2;44;100;5;37,8;60;;;;4;45,5;75;1;53;100;1;71;100;7;50;85,7;;;;;;;;;;57.607147;39.958025
79;760206;г. Ярославль;48;"Муниципальное общеобразовательное учреждение ""Средняя школа № 48""";150065, Ярославская обл., г. Ярославль, ул. Папанина, д.10а;Журина Ирина Николаевна;4852;753442;yarsch048@yandex.ru;http://school48.edu.yar.ru;38;69,5;100;33;38,6;84,8;38;4,3;100;5;46,2;100;7;55,3;100;10;52,4;90;2;53;100;3;46,3;100;2;53;100;6;45,8;100;24;51,8;91,7;2;53;100;;;;;;;57.642141;39.953309
80;760308;г. Ярославль;49;"Муниципальное общеобразовательное учреждение ""Средняя школа № 49""";150014, Ярославская обл., г. Ярославль, ул. Свободы, д.77;Воробьева Галина Сергеевна;4852;214695;yarsch049@yandex.ru;http://school49yar.ru;63;81,2;100;31;60,3;96,8;57;4,7;100;5;67,2;100;13;67,2;100;13;73,8;100;;;;5;63;100;5;66,2;100;14;64,6;100;40;70,7;100;15;73,6;100;;;;;;;57.626005;39.860127
81;760101;г. Ярославль;5;"Муниципальное общеобразовательное учреждение ""Средняя школа № 5 им.О.А.Варенцовой""";150060, Ярославская обл., г. Ярославль, ул. Туманова, д.10в;Петрова Ирина Валентиновна;4852;538395;yarsch005@yandex.ru;http://school5.edu.yar.ru;15;55,9;100;7;33,9;71,4;15;3,9;100;3;41,3;100;3;49;66,7;2;42;50;1;17;0;;;;;;;1;56;100;7;42,1;28,6;;;;;;;;;;57.690578;39.767582
82;760209;г. Ярославль;52;"Муниципальное общеобразовательное учреждение ""Средняя школа № 52""";150051, Ярославская обл., г. Ярославль, ул. Саукова, д.13;Алексеева Наталья Михайловна;4852;247666;yarsch052@yandex.ru;http://school52.edu.yar.ru;29;75,4;100;23;50,4;95,7;25;4,4;100;8;57;100;3;52;100;4;55,5;100;1;66;100;2;74,5;100;2;56;100;2;71,5;100;19;62,9;94,7;1;68;100;;;;;;;57.64586;39.949141
83;760110;г. Ярославль;55;"Муниципальное общеобразовательное учреждение ""Средняя школа № 55""";150061, Ярославская обл., г. Ярославль, ул. Громова, д.36;Боронова Анна Валерьевна;4852;563926;yarsch055@yandex.ru;http://s55.yar.fcior.edu.ru;32;74,4;100;22;45,2;86,4;30;4,3;100;6;49,3;100;6;50,5;83,3;9;58,4;100;1;58;100;3;47,7;66,7;;;;11;46,3;100;20;57,2;100;1;85;100;;;;;;;57.680046;39.766181
84;760111;г. Ярославль;56;"муниципальное общеобразовательное учреждение ""Средняя школа № 56""";150064, Ярославская обл., г. Ярославль, ул. Моторостроителей, д.10;Озерова Татьяна Николаевна ;4852;561170;yarsch056@yandex.ru;http://school56.edu.yar.ru;32;71;100;19;51,1;84,2;31;4,3;100;6;50,8;100;5;64,6;100;11;57,5;100;;;;7;71,4;100;1;49;100;4;40,5;100;11;49;72,7;1;44;100;;;;;;;57.702771;39.762821
85;760112;г. Ярославль;58;"Муниципальное общеобразовательное учреждение ""Средняя школа № 58 с углубленным изучением предметов естественно-математического цикла""";150064, Ярославская обл., г. Ярославль, ул. Труфанова, д.21а;Остапенко Ирина Сергеевна;4852;533111;yarsch058@yandex.ru;http://school58.edu.yar.ru;81;78,9;100;77;58,1;97,4;42;4,5;100;25;55;100;18;58,7;94,4;21;62,4;90,5;;;;35;67,9;100;2;69;100;9;58,1;100;39;58,5;92,3;4;72,5;100;;;;;;;57.685806;39.76115
86;760210;г. Ярославль;59;"Муниципальное общеобразовательное учреждение ""Средняя школа № 59""";150062, Ярославская обл., г. Ярославль, ул. Серго Орджоникидзе, д.35а;Квитницкая Галина Львовна;4852;246575;yarsch059@yandex.ru;http://school59.edu.yar.ru;51;72,7;100;40;50,7;90;44;4,4;100;12;51,5;100;10;47,5;90;11;54;100;;;;6;66,7;100;3;54;100;11;47,3;90,9;33;57,3;97;1;57;100;;;;;;;57.652809;39.955438
87;760113;г. Ярославль;60;"Муниципальное общеобразовательное учреждение ""Средняя школа № 60""";150018, Ярославская обл., г. Ярославль, ул. Б.Любимская, д.71;Саматоева Светлана Львовна;4852;539465;yarsch060@yandex.ru;http://school60.edu.yar.ru;15;62,7;93,3;2;47,5;50;15;4;93,3;1;39;100;1;60;100;3;48,7;66,7;;;;;;;;;;8;43,1;87,5;13;50,2;76,9;;;;;;;;;;57.718657;39.779323
88;760114;г. Ярославль;62;"Муниципальное общеобразовательное учреждение ""Средняя школа № 62""";150045, Ярославская обл., г. Ярославль, ул. Труфанова, д.16;Кокуева Татьяна Дмитриевна ;4852;550626;yarsch062@yandex.ru;http://school62.edu.yar.ru;30;64;100;23;38;73,9;28;4,3;100;8;47,6;100;2;55,5;100;6;50,7;100;2;61;100;;;;;;;7;35,9;85,7;21;47,8;85,7;;;;;;;;;;57.682779;39.774769
89;760211;г. Ярославль;67;"Муниципальное общеобразовательное учреждение ""Средняя школа № 67""";150034, Ярославская обл., г. Ярославль, ул. Панфилова, д.9а;Дроздова Наталья Юрьевна;4852;384155;yarsch067@yandex.ru;http://school67.edu.yar.ru;21;64,8;100;12;37,3;75;21;3,9;95,2;2;45,5;100;3;40;100;10;37,9;70;;;;2;60;100;1;65;100;6;47,2;83,3;14;47,9;64,3;;;;;;;;;;57.721757;39.830204
90;760613;г. Ярославль;68;"Муниципальное общеобразовательное учреждение ""Средняя школа № 68""";150035, Ярославская обл., г. Ярославль, ул. Калинина, д.37а;Голубева Маргарита Алексеевна;4852;456876;yarsch068@yandex.ru;http://school68.edu.yar.ru;25;69,8;100;12;37,3;83,3;25;4,2;100;2;44;100;4;53,5;100;5;68,4;100;;;;3;36,7;66,7;2;60,5;100;4;52;100;13;55,5;100;1;73;100;;;;;;;57.570377;39.868499
91;760212;г. Ярославль;69;"Муниципальное общеобразовательное учреждение ""Средняя школа № 69""";150034, Ярославская обл., г. Ярославль, ул. Лебедева, д.3а;Анисимова Любовь Владимировна;4852;383935;yarsch069@yandex.ru;http://school69.edu.yar.ru;17;70,5;100;12;34,8;83,3;17;4,4;100;4;43,3;100;;;;5;43,2;80;;;;2;52,5;100;2;62,5;100;3;38,3;33,3;16;52,7;93,8;2;25,5;100;;;;;;;57.724031;39.833168
92;760303;г. Ярославль;7;"Муниципальное общеобразовательное учреждение ""Средняя школа № 7""";150014, Ярославская обл., г. Ярославль, ул. Победы, д.46;Замесова Тамара Юрьевна;4852;329087;yarsch007@yandex.ru;http://school7.edu.yar.ru;20;60,3;95;9;43,9;100;20;4;95;4;31,3;50;1;31;0;9;39,8;55,6;4;33,5;25;1;14;0;;;;2;45,5;100;17;49,2;82,4;;;;;;;;;;57.624125;39.867574
93;760310;г. Ярославль;70;"Муниципальное общеобразовательное учреждение ""Средняя школа № 70""";150003, Ярославская обл., г. Ярославль, ул. Терешковой, д.20;Луковикова Ирина Ивановна;4852;305500;yarsch070@yandex.ru;http://school70.edu.yar.ru;25;67,5;100;16;38,8;81,3;25;4,6;100;2;53;100;2;33,5;50;4;47;100;1;55;100;2;46,5;50;3;68,7;100;9;48,2;88,9;18;53,5;100;4;77,8;100;;;;;;;57.635464;39.887561
94;760510;г. Ярославль;71;"Муниципальное общеобразовательное учреждение ""Средняя школа № 71""";150040, Ярославская обл., г. Ярославль, ул. Свердлова, д.62;Медведева Ольга Васильевна;4852;738720;yarsch071@yandex.ru;http://school71.edu.yar.ru;47;67,1;100;25;38,6;88;36;3,9;97,2;6;43,8;83,3;6;47,5;83,3;10;43,7;80;;;;3;55;100;9;46,3;77,8;14;41,9;85,7;30;49,7;76,7;5;60,4;100;;;;;;;57.631098;39.866648
95;760116;г. Ярославль;72;"Муниципальное общеобразовательное учреждение ""Средняя школа № 72""";150042, Ярославская обл., г. Ярославль, ул. Е.Колесовой, д.26;Курбанова Светлана Викторовна;4852;550283;sch072yar@yandex.ru;http://school72.edu.yar.ru;11;71,4;100;10;37,4;70;7;4,3;100;6;43,8;83,3;;;;1;59;100;;;;1;72;100;;;;;;;6;55,7;100;;;;;;;;;;57.682269;39.807108
96;760511;г. Ярославль;74;"Муниципальное общеобразовательное учреждение ""Средняя школа № 74 имени Ю.А.Гагарина""";150054, Ярославская обл., г. Ярославль, ул. Тургенева, д.14;Буханцева Елена Борисовна;4852;735575;yarsch074@yandex.ru;http://school74.edu.yar.ru;16;68,4;100;9;45,4;77,8;16;4,3;100;2;50;100;4;54,3;100;4;55,8;100;1;53;100;1;40;100;;;;6;44,7;83,3;9;59,6;100;1;54;100;;;;;;;57.633214;39.849059
97;760409;г. Ярославль;75;"Муниципальное общеобразовательное учреждение ""Средняя школа № 75""";150023, Ярославская обл., г. Ярославль, ул. Рыкачева, д.1;Прокопчук Алла Павловна;4852;441618;yarsch075@yandex.ru;http://school75.edu.yar.ru;24;77;100;21;45,9;90,5;24;4,6;100;4;48,8;100;7;47,1;85,7;10;57,7;90;1;51;100;1;57;100;2;58,5;100;2;50;50;11;54,2;90,9;;;;;;;;;;57.578267;39.842367
98;760512;г. Ярославль;76;"Муниципальное общеобразовательное учреждение ""Средняя школа № 76""";150031, Ярославская обл., г. Ярославль, ул. Автозаводская, д.69д;Герасимов Сергей Дмитриевич;4852;276712;yarsch76@yandex.ru;http://school76.edu.yar.ru/;40;71,2;100;38;45,9;94,7;40;4,4;100;11;41,6;90,9;3;50;66,7;5;72,4;100;;;;9;68,1;100;;;;3;58,7;100;23;58,1;91,3;3;80;100;;;;;;;57.64086;39.819541
99;760615;г. Ярославль;78;"муниципальное общеобразовательное учреждение ""Средняя школа № 78""";150010, Ярославская обл., г. Ярославль, ул. Пирогова, д.12;Дмитриева Елена Владимировна ;4852;412960;yarsch078@yandex.ru;http://school78.edu.yar.ru;24;67,9;100;16;37,1;75;24;4,2;100;4;32,8;75;2;27;50;6;46,3;83,3;1;57;100;;;;4;50,3;100;3;54,3;100;20;52,4;85;1;62;100;;;;;;;57.553083;39.933232
100;760401;г. Ярославль;8;"Муниципальное общеобразовательное учреждение ""Средняя школа № 8""";150029, Ярославская обл., г. Ярославль, ул. Бахвалова, д.3;Батузова Ирина Владимировна;4852;217323;yarsch008@yandex.ru;http://school8.edu.yar.ru;26;59,5;100;13;33,6;84,6;26;3,9;96,2;6;42;83,3;2;29;50;8;41,1;75;;;;1;7;0;2;57,5;100;2;39,5;100;22;42;50;;;;;;;;;;57.609042;39.818526
101;760117;г. Ярославль;80;"Муниципальное общеобразовательное учреждение ""Средняя школа № 80 с углубленным изучением английского языка""";150044, Ярославская обл., г. Ярославль, ул. Е.Колесовой, д.38;Хитрова Галина Владиславовна;4852;563588;yarsch080@yandex.ru;http://76202s080.edusite.ru;43;75,2;100;27;47,7;96,3;28;4,1;96,4;7;47,1;100;4;52;100;5;72,6;100;;;;5;68,8;100;3;75;100;7;57,6;100;24;67,7;100;17;78,1;100;;;;;;;57.680523;39.802446
102;760118;г. Ярославль;81;"Муниципальное общеобразовательное учреждение ""Средняя школа № 81""";150042, Ярославская обл., г. Ярославль, ул. Блюхера, д.32а;Лежникова Ирина Витальевна;4852;550495;yarsch-081@yandex.ru;http://81.yarsch.com;13;66,8;100;11;27,2;63,6;13;4,1;100;2;34;50;2;29,5;50;8;42,6;62,5;1;50;100;1;0;0;;;;1;44;100;12;49,2;83,3;;;;;;;;;;57.68506;39.810989
103;760215;г. Ярославль;83;"Муниципальное общеобразовательное учреждение ""Средняя школа № 83""";150051, Ярославская обл., г. Ярославль, Школьный пр., д.15;Глазкова Ольга Викторовна;4852;248816;yarsch083@yandex.ru;http://school83.edu.yar.ru;20;73,1;100;16;36;93,8;19;4,2;100;3;48;100;8;52,3;100;10;59,6;100;1;44;100;2;60,5;100;;;;3;33;66,7;7;53,4;100;;;;;;;;;;57.6482;39.958932
104;760216;г. Ярославль;84;"Муниципальное общеобразовательное учреждение ""Средняя школа № 84 с углубленным изучением английского языка""";150062, Ярославская обл., г. Ярославль, пр. Доброхотова, д.8;Юдина Елена Донатовна;4852;240165;yarsch084@yandex.ru;http://school84.edu.yar.ru;25;69,9;100;18;48,4;94,4;25;4,5;100;7;50,6;100;3;53,7;100;6;53,3;100;1;78;100;4;55,5;75;1;49;100;4;54,3;100;14;56,1;100;3;85,7;100;;;;;;;57.653686;39.948745
105;760120;г. Ярославль;87;"Муниципальное общеобразовательное учреждение ""Средняя школа № 87""";150064, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.68а;Важнова Ольга Геннадьевна;4852;543934;yarsch087@yandex.ru;http://shkola87.ru;23;79;100;21;47,4;85,7;23;4,5;100;7;51;100;2;50;100;4;50,8;100;;;;3;60;100;3;68;100;3;57,7;100;13;64,9;100;;;;;;;;;;57.697202;39.773152
106;760617;г. Ярославль;88;"Муниципальное общеобразовательное учреждение ""Средняя школа № 88""";150010, Ярославская обл., г. Ярославль, ул. Звездная, д.11;Кузнецов Виктор Васильевич;4852;466443;yarsch088@yandex.ru;http://школа88.рф;54;70,4;100;46;39,2;69,6;54;4,4;98,1;17;52,2;100;3;23,7;33,3;8;45,3;75;1;62;100;4;63,3;100;6;51,5;83,3;7;52,1;100;45;53,2;84,4;1;78;100;;;;;;;57.559447;39.922802
107;760618;г. Ярославль;89;"Муниципальное общеобразовательное учреждение ""Средняя школа № 89""";150006, Ярославская обл., г. Ярославль, пр-т Фрунзе, д.75а;Белькова Тамара Рафасовна;4852;462214;yarsch89@yandex.ru;http://school89.edu.yar.ru;32;74,9;100;27;49,5;88,9;32;4,6;100;9;49,1;100;1;56;100;2;65;100;;;;5;52;80;1;52;100;6;51,8;100;23;52;82,6;2;73;100;;;;;;;57.566607;39.93316
108;760502;г. Ярославль;9;"Муниципальное общеобразовательное учреждение ""Средняя школа № 9 имени Ивана Ткаченко""";150043, Ярославская обл., г. Ярославль, ул. Чкалова, д.26;Шевченко Сергей Борисович;4852;722811;yarsch009@yandex.ru;http://school9.edu.yar.ru;19;67,7;100;11;40,9;63,6;19;4,2;100;1;52;100;1;21;0;6;37,8;83,3;;;;1;42;100;;;;3;63,7;100;10;57,6;70;1;47;100;;;;;;;57.638229;39.841819
109;760121;г. Ярославль;90;"Муниципальное общеобразовательное учреждение ""Средняя школа № 90""";150064, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.64а;Куприянова Наталия Наримановна;4852;536555;yarsch090@yandex.ru;http://school90.edu.yar.ru;46;72,1;100;35;45,5;85,7;46;4,4;100;8;49,8;87,5;5;55,6;100;11;57,7;81,8;;;;2;64,5;100;2;47;100;13;51,8;100;32;53,8;87,5;4;58,8;100;;;;;;;57.695552;39.777113
110;760314;г. Ярославль;;"Муниципальное общеобразовательное учреждение ""Средняя школа с углубленным изучением отдельных предметов ""Провинциальный колледж""";150049, Ярославская обл., г. Ярославль, ул. Б.Октябрьская, 79;Семко Елена Романовна;4852;212385;yarprovcol@yandex.ru;http://pcollege.edu.yar.ru;115;78,5;100;78;58,5;97,4;86;4,5;100;14;55,5;92,9;5;69;100;15;68,8;100;1;45;100;27;71,3;100;11;61,9;100;39;59,9;100;75;61,7;98,7;18;80,2;100;;;;;;;57.620279;39.857063
111;762421;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Пружининская средняя школа""";152236, Ярославская обл., Гаврилов-Ямский р-н, с. Пружинино, ул. Центральная, д.41;Бучнева Анна Борисовна;48534;34115;pruzhinino-edu@yandex.ru;http://pruzh-gav.edu.yar.ru;1;69;100;1;18;0;1;4;100;1;44;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.296142;40.173809
112;763802;Гаврилов-Ямский;2;"Муниципальное общеобразовательное бюджетное учреждение ""Средняя школа № 2""";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, ул. Калинина, д.4;Акимова Татьяна Леонидовна;48534;21878;gav-yam-school2@rambler.ru;http://sh2gav.edu.yar.ru;10;67,4;100;1;56;100;10;4;100;;;;1;24;0;2;42;100;;;;;;;;;;1;67;100;4;55,3;75;;;;;;;;;;57.30382;39.857063
113;762423;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Стогинская средняя школа""";152231, Ярославская обл., Гаврилов-Ямский р-н, с. Стогинское, ул. Центральная, д.16;Большакова Светлана Геннадьевна;48534;35132;stog-school@rambler.ru;http://stog-gav.edu.yar.ru;5;64;100;5;26,6;40;5;4,2;100;;;;1;68;100;1;68;100;;;;;;;;;;1;44;100;2;49;100;;;;;;;;;;57.236998;40.053776
