Number;Name;Address;INN;OGRN;Registration number;Requisites;Date of decision;Expiry date;Education levels;Date order for renewal;Number order for renewal;Order the suspension of date;Order the suspension of number;Order the resumption date;Order the resumption number;Order date of the withdrawal ;Order number of the withdrawal ;Order date of the termination;Order number of the termination;Latitude;Longitude
;государственное профессиональное  образовательное учреждение Ярославской области  Ярославский кадетский колледж ;Российская Федерация, 150020, г.Ярославль, ул.Алмазная, д.4б;7603012591;1027600622664;86/15;76А01 № 0000163;14.05.2015; 14.05.2027;Основное общее образование ;;;;;;;;;;;57.657625;39.932261
№ 129;государственное профессиональное  образовательное учреждение Ярославской области  Ярославский кадетский колледж ;Российская Федерация, 150020, г.Ярославль, ул.Алмазная, д.4б;7603012591;1027600622664;88/15;76А01 № 0000042;14.05.2015;14.05.2021;"Среднее профессиональное образование по программам подготовки квалифицированных  рабочих (служащих): 15.00.00 Машиностроение; 23.00.00 Техника и технологии наземного транспорта; 35.00.00  Сельское, лесное и рыбное хозяйство ";;;;;;;;;;;57.657625;39.932261
№ 130;государственное  профессиональное образовательное учреждение Ярославской области Ярославский  колледж  индустрии питания ;Российская Федерация, 150003, г. Ярославль, ул. Советская, д. 77;7606021403;1027600850639;32/16;76А01 № 0000079;29.12.2015;29.12.2021;"Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих):  09.00.00 Информатика и вычислительная техника,  19.00.00  Промышленная экология и  биотехнология;  43.00.00 Сервис и туризм;  среднее  профессиональное образование по программа  подготовки специалистов среднего звена: 09.00.00 Информатика и вычислительная техника,  19.00.00  Промышленная экология и биотехнологии;  38.00.00  Экономика и управление";15.02.2016;130/05-03;;;;;;;;;57.642464;39.872928
№ 131;государственное образовательное учреждение начального профессионального образования Ярославской области профессиональное училище № 31;Российская Федерация, 150043,  г. Ярославль, ул. Автозаводская, д. 5/1;7606021428;1027600844182;40\14;76А01 № 0000250;14.03.2014;14.03.2020;"Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 030000 Гуманитарные науки; 100000 Сфера обслуживания; 260000 Технология продовольственных продуктов и потребительских товаров";;;;;;;;;;;57.642098;39.847928
;государственное профессиональное образовательное учреждение Ярославской области Ярославский техникум  радиоэлектронники и телекоммуникаций ;Российская Федерация, 150010  г. Ярославль, пос. Октябрьский, д. 19;7607008540;1027600981430;47/16;76А01 № 0000081;02.03.2015;02.03.2021;"Среднее профессиональное образование по программам  подготовки квалифицированных рабочих (служащих): 11.00.00 Электроника, радиотехника и системы связи;  15.00.00 Машиностроение;  38.00.00  Экономика и управление;  среднее профессиональное  образование по программам подготовки специалистов среднего звена: 11.00.00 Электроника, радиотехника и системы сявзи;  46.0.00  История и археология";"24.02.2016; 29.04.2016";"173/05-03; 426/05-03";;;;;;;;;57.556454;39.955186
№ 132;государственное профессиональное образовательное учреждение Ярославской области Ярославский техникум  радиоэлектронники и телекоммуникаций ;Российская Федерация, 150010  г. Ярославль, пос. Октябрьский, д. 19;7607008540;1027600981430;46/16;76А01 № 0000299;10.03.2015;10.03.2027;Основное общее образование ;24.02.2016;172/05-03;;;;;;;;;57.556454;39.955186
№ 133;государственное  профессиональное образовательное учреждение Ярославской области  Ярославский профессиональный колледж  № 21;Российская Федерация, 150006, г. Ярославль, ул. Корабельная, д. 7;7607008250;1027600983706;139/16; 76А01 № 0000089;21.05.2014;21.05.2020;"Среднее профессиональное  образование по  программам подготовки квалифицированных рабочих (служащих):  09.00.00 Информатика и вычислительная техника; 15.00.00 Машиностроение; 19.00.00 Промышленная экология и биотехнологии; 23.00.00 Техника и технологии наземного транспорта ";21.06.2016;545/05-03;;;;;;;;;57.574658;39.930869
№ 134;государственное профессиональное образовательное учреждение Ярославской области  Ярославский железнодорожный колледж ; Российская Федерация, 150030,  г. Ярославль, проспект Фрунзе, д. 8;7607008557;1027600985268;122/15;76А01 № 0000057;28.03.2011;28.03.2017;Среднее профессиональное образование по программам  подготовки квалифицированных рабочих (служащих) ;"22.05.2012; 24.08.2015";"360/05-03; 393/05-03";;;;;;;;;57.59851;39.879836
№ 135;Муниципальное образовательное учреждение средняя общеобразовательная школа № 17; г. Ярославль, Красноперевальский переулок, д. 4;7602023840;1027600509859;64/15;76А01 № 0000143;13.04.2015;13.04.2027;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.731162;39.767349
№ 136;государственное профессиональное  образовательное автономное  учреждениеЯрославской области Ярославский педагогический колледж;Российская Федерация, 150029,  г. Ярославль, ул. Маланова, д. 14;7605009065;1027600789017;49/16;76А01№ 0000083;12.05.2014;12.05.2020;"Среднее профессиональное образование  по программам подготовки специалистов среднего звена: 09.00.00 Информатика и вычислительная техника;  44.00.00 Образование и педагогические науки; 49.00.00 Физическая  культура и спорт; 54.00.00 Изобразительное и прикладные виды искусств ";"19.02.2015; 24.02.2016 ;  09.06.2016";"60\05-03; 175/05-03; 513/05-03";;;;;;;;;57.602706;39.823978
№ 137;государственное профессиональное образовательное автономное учреждениеЯрославской области Ярославский колледж сервиса и  дизайна ;Российская Федерация, 150043, г. Ярославль, ул. Автозаводская, д.5\1;7605009234;1027600793681;35\15;76А01 № 0000029;08.12.2011;08.12.2017;"Среднее профессиональное образование по программам подготовки  квалифицированных рабочих (служащих): 030000 ГУМАНИТАРНЫЕ НАУКИ, 070000 КУЛЬТУРА И ИСКУССТВО, 100000 СФЕРА ОБСЛУЖИВАНИЯ;  260000  ТЕХНОЛОГИЯ ПРОДОВОЛЬСТВЕННЫХ ПРОДУКТОВ И ПОТРЕБИТЕЛЬСКИХ ТОВАРОВ; среднее профессиональное образование по программам подготовки специалистов среднего звена:  070000 КУЛЬТУРА И ИСКУССТВО,  100000 СФЕРА ОБСЛУЖИВАНИЯ, ";"22.06.2012; 05.03.2015";"428/05-03; 73\05-03";;;;;;;;;57.642098;39.847928
№ 138;государственное образовательное учреждение среднего профессионального образования Ярославской области Ярославский колледж экономики  и предпринимательства ;Российская Федерация, 150023,       г. Ярославль, ул. Большие Полянки д. 1;7605009770;1027601304268;сен.13;76А01 № 0000063;20.02.2012;20.02.2018;"Основные прграммы среднего профессионального образования: менеджмент (по отраслям) (менеджер); менеджмент (по отраслям) (менеджер с углубленной подготовкой). Укрупненные группы направлений подготовки  и специальностей: гуманитарные науки, сфера обслуживания. ";"27.11.2012; 19.02.2013; 25.06.2013";"679/05-03; 60/05-03; 452/05-03";;;;;;;;;57.591444;39.846113
139;"муниципальное общеобразовательное учреждение ""Средняя школа №2""6";150033,  город Ярославль, улица  Блюхера, дом  74;7602014733;1027600519121;119/16;76А01 № 0000369;05.11.2014;05.11.2026;Начальное  общее образование, основное общее образование,  среднее общее образование ;13.05.2016;453/05-03;;;;;;;;;57.691944;39.799104
№ 140;"муниципальное общеобразовательное учреждение ""Средняя школа № 21 имени А.М. Достоевского"" ";150006, город Ярославль, улица  Ильинская, дом  14 ;7607014575;1027600983013;фев.16;76А01 № 0000263;19.02.2013;19.02.2025;Начальное общее образование, основное общее образование, среднее общее  образование ;"11.03.2014; 13.01.2016";"115/05-03; 16/05-03";;;;;;;;;57.579498;39.919919
№ 141;государственное образовательное учреждение Ярославской области Центр детско-юношеского технического творчества;Россия,  г. Ярославль, ул. Республиканская, д. 51;7604026090;1027600690590;авг.01;ДД 005548;25.06.2010;25.06.2015;дополнительные общеобразовательные программы;;;;;;;;;;;57.627961;39.878551
№ 142;"муниципальное общеобразовательное учреждение ""Средняя школа № 55""";150061, город Ярославль, улица  Громова, дом  36;7602024315;1027600513160;120/16;76А01 № 0000370;19.12.2013;19.12.2025;начальное общее образование, основное общее образование, среднее общее образование ;13.05.2016;454/05-03;;;;;;;;;57.680046;39.766181
143;"муниципальное общеобразовательное учреждение ""Средняя школа № 58 с углубленным изучением предметов естественно-математического цикла""";150063, город Ярославль, улица Труфанова, дом 21а;7602024058;1027600512532;199/16;76А01№ 0000446;13.01.2015;13.01.2027;Начальное общее образование, основное  общее образование,  среднее  общее  образование ;30.11.2016;894/05-03;;;;;;;;;57.685806;39.76115
№ 144;государственное профессиональное образовательное учреждение Ярославской области Угличский  механико-технологический колледж ;Россияская Федерация, Ярославская обл., г. Углич, ул. Северная, д.1 ;7612008344;10276013004950;132/15;76А01 № 0000062;31.10.2012;31.10.2018;"Среднеее профессиональное образование по программам  подготовки специалистов среднего з-вена: 15.00.00 Машиностроение, 19.00.00 Промышленная экология и биотехнологии; 38.00.00 Экономика и управление; 43.00.00 Сервис и туризм; ";30.10.2015;514/05-03;;;;;;;;;57.545409;38.323729
145;"муниципальное общеобразовательное учреждение ""Гимназия № 2""";150045, город Ярославль, Ленинградский проспектт,  дом 87;7602024033;1027600512170;209/16;76А01 № 0000456;30.01.2015;30.01.2027;Основное общее образование,  среднее общее образование ;13.12.2016;941/05-03;;;;;;;;;57.684714;39.777886
№ 146;"муниципальное общеобразовательное учреждение ""Средняя школа № 99""";город Ярославль,  улица Труфанова, дом 25 а, 150063;7602100206;1137602005034;190/16;76А01 № 0000438;16.01.2015;16.01.2027;"Начальное общее  образование, основное общее образование; среднее общее образование ";24.11.2016;865/05-03;;;;;;;;;57.687187;39.758006
№ 147;муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа № 13;150054, Ярославская обл., г. Ярославль, ул. Добролюбова, д. 12;7606037178;1027600844809;авг.33;ДД 005471;15.02.2010;15.02.2015;дополнительные образовательные программы;;;;;;;;;;;57.640744;39.847056
№ 148;муниципальное образовательное учреждение дополнительного образования детей специализированная детско-юношеская спортивная школа олимпийского резерва № 9;150044, Ярославская обл., г. Ярославль, ул. Пионерская, д. 19;7602031496;1027600518494;авг.41;ДД 005519;24.05.2010;24.05.2015;дополнительные общеобразовательные программы;;;;;;;;;;;57.684819;39.792439
№ 149;"муниципальное общеобразовательное учреждение ""Санаторная школа-интернат № 10"""; 150018, город  Ярославль, улица Демьяна  Бедного, дом 54;7602023167;1027600510266;129/15;76А01 №  0000193;19.11.2014;19.11.2026;Начальное  общее образование, основное общее  образование ;13.10.2015;474/05-03;;;;;;;;;57.722488;39.778793
№ 150;Муниципальное дошкольное образовательное учреждение детский сад присмотра и оздоровления № 10;150052, Ярославская обл., г. Ярославль, Ленинградский пр-т, д. 63б;7602023752;1027600511234;янв.86;ДД 005558;15.11.2010;15.11.2015;дошкольного образования;;;;;;;;;;;57.681451;39.786869
№ 151;Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 11;150060, Ярославская обл., г. Ярославль, ул. Волгоградская, д. 47а;7602023791;1027600512060;янв.50;ДД 005525;15.06.2010;15.06.2015;дошкольного образования;;;;;;;;;;;57.692536;39.763944
;государственное профессиональное  образовательное учреждение Ярославской области Переславский  политехнический колледж ;Российская Федерация, 152025, Ярославская область., г. Переславль-Залесский, ул.Строителей, д. 22;7608002526;1027601050300;118/15;76А01 № 0000053;26.04.2012;26.04.2018;"Среднее  профессиональное  образование по программам подготовки  квалифицированных рабочих (служащих): 15.00.00  Машиностроение; 23.00.00 Техника и технологии наземного транспорта; 43.00.00 Сервис и туризм; 46.00.00 История и археология; среднее профессиональное образование по программам подготовки специалистов среднего звена: 23.00.00 Техника и технологии наземного транспорта; 43.00.00 Сервис и туризм; ";"21.09.2012, 29.12.2012, 11.06.13; 25.06.2013;19.12.2013; 03.06.2015;11.08.2015; 18.11.2015; ";"565/05-03,  744/05-03, 418/05-03; 447/05-03; 708/05-03; 213/05-03;372/05-03;  564/05-03";;;;;;;;;56.748035;38.876642
№ 152;государственное профессиональное  образовательное учреждение Ярославской области Переславский  политехнический колледж ;Российская Федерация, 152025, Ярославская область., г. Переславль-Залесский, ул.Строителей, д. 22;7608002526;1027601050300;117/15;76А01 № 0000186;26.04.2012;26.04.2018;Основное общее образование ;"21.09.2012, 29.12.2012, 11.06.13; 25.06.2013;19.12.2013; 03.06.2015; 11.08.2015";"565/05-03,  744/05-03, 418/05-03; 447/05-03; 708/05-03; 213/05-03; 371/05-03";;;;;;;;;56.748035;38.876642
№ 153;Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 69;150064, Ярославская обл., г. Ярославль, Ленинградский пр-т, д. 78а;7602024192;1027600518857;янв.28;ДД 005510;24.05.2010;24.05.2015;дошкольного образования;;;;;;;;;;;57.700448;39.764025
№ 154;Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 127;150033, Ярославская обл., г. Ярославль, Тутаевское шоссе, д. 66а;7602023784;1027600515953;янв.31;ДД 005513;24.05.2010;24.05.2015;дошкольного образования;;;;;;;;;;;57.699169;39.79826
№ 155;"муниципальное общеобразовательное учреждение ""Средняя школа № 1""";Россия,  Ярославская область, город Переславль-Залесский, ул. Советская, д.3, д.4;7608008976;1027601051268;180/16;76А01 № 0000427;21.02.2014;21.02.2026;"начальное общее образование; основное общее образование; среднее общее образование";15.11.2016;822/05-03;;;;;;;;;56.73715;38.854193
№ 156;"муниципальное общеобразовательное учреждение ""Средняя школа № 2""";150051, город Ярославль, проспект Авиаторов, дом 84;7603019710;1027600622059;89/16;76А01 № 0000339;19.12.2013;19.12.2025;начальное общее образование, основное общее образование, среднее  общее образование;04.04.2016;338/05-03;;;;;;;;;57.651904;39.94067
№ 157;"муниципальное общеобразовательное учреждение ""Средняя школа №6"""; 152240, Российская Федерация,  Ярославская область, г.Гаврилов-Ям, ул. Кирова, д. 13;7616005224;1027601071717;188/15;76А01 № 0000244;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование;28.12.2015;743/05-03;;;;;;;;;57.306231;39.865184
№ 158;"муниципальное общеобразовательное  бюджетное учреждение ""Ильинская основная  школа""";Россия, 152254, Ярославская область, Гаврилов-Ямский район, Ильинский сельский округ, с. Ильинское-Урусово, ул. Почтовая, д. 17;7616005070;1027601069803;140/16;76А01 № 0000387;13.03.2012;24.05.2023;Начальное общее образование, основное общее  образование ;23.06.2016;551/05-03;;;;;;;;;57.4146;39.42934
№ 159;"муниципальное общеобразовательное учреждение ""Средняя школа № 1""";Россия, 152241, Ярославская область, город Гаврилов-Ям, Юбилейный проезд, дом 5;7616005175;1027601071849;53/16;76А01 № 0000303;24.05.2011;24.05.2023;Начальное общее образование, основное общее образование, среднее общее образование ;26.02.2016;191/05-03;;;;;;;;;57.301574;39.869137
№ 160;Муниципальное образовательное учреждение Плотинская начальная общеобразовательная школа;Россия, 152240, Ярославская область, Гаврилов-Ямский район, Плотинский сельский округ, д. Плотина, ул. Молодёжная, д.1;7616005111;1027601069550;фев.32;ОП 024158;17.06.2011;17.06.2023;общеобразовательная программа начального общего образования;;;;;;;;;;;57.33215;39.81707
; государственное профессиональное  образовательное учреждение Ярославской области  Великосельский аграрный техникум;Российская Федерация, Ярославская область, Гаврилов-Ямский район, с. Великое, ул. Розы Люксембург, 12;7616001678;1027601072685;202/15;76А01 № 0000072;29.12.2015;29.12.2021;"Среднее профессиональное  образование по программам  подготовки  специалистов среднего звена: 35.00.00  Сельское, лесное и рыбное хозяйство;  36.00.00  Ветеринария и  зоотехния; 40.00.00 Юриспруденция; ";;;;;;;;;;;57.353239;39.776026
№ 161;Козьмодемьянский филиал государственного профессионального образовательного учреждения Ярославской области Великосельского аграрного колледжа ;Российская Федерация, 150525, Ярославская область, Ярославский район, п. Козьмодемьянск;;;;;29.12.2015;29.12.2021;"Среднее  профессиональное  образование по программам  подготовки  специалистов  среднего звена:  21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия; 35.00.00 Сельское, лесное и рыбное хозяйство; 38.00.00 Экономика и управление ";;;;;;;;;;;57.491607;39.688027
№ 162;"муниципальное общеобразовательное учреждение ""Средняя школа № 2""";Россия, Ярославская область,  город Переславль-Залесский, мкр. Чкаловский, дом 53 ;7608009105;1027601050751;17/16;76А01 № 0000274;28.02.2014;28.02.2026;начальное общее образование,  основное  общее образование, среднее общее образование;02.02.2016;70/05-03;;;;;;;;;56.71508;38.815152
;государственное  профессиональное образовательное учреждение Ярославской области Гаврилов-Ямский политехнический колледж ;Российская Федерация, 152240, Ярославская область, г. Гаврилов-Ям, ул. Спортивная, д. 14;7616002135;1027601071740;130/15;76А01 № 0000061;03.02.2014;03.02.2020;" Среднее профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 08.00.00 Техника и технологии строительства; 19.00.00 Промышленная экология и биотехнологии;  23.00.00 Техника и технологии наземного транспорта; 29.00.00 Технологии легкой промышленности; 38.00.00 Экономика и управление;  43.00.00 Сервис и туризм; ";20.10.2015;493/05-03;;;;;;;;;57.301073;39.830617
№ 163;государственное  профессиональное образовательное учреждение Ярославской области Гаврилов-Ямский политехнический колледж ;Российская Федерация, 152240, Ярославская область, г. Гаврилов-Ям, ул. Спортивная, д. 14;7616002135;1027601071740;111/16;76А01  № 0000362;29.04.2016;29.04.2028;Основное общее образование ;;;;;;;;;;;57.301073;39.830617
№ 164;"государственное общеобразовательное учреждение Ярославской области ""Гаврилов-Ямскаяшкола-интернат""";Российская Федерация, Ярославская область, г. Гаврилов-Ям, ул. Сосновая, д. 1;7616001131;1027601071607;108/15;76А01№ 0000179;28.05.2012;28.05.2024;Начальное общее образование, основное общее образование ;29.06.2015;266/05-03;;;;;;;;;57.288608;39.842601
№ 165;Муниципальное общеобразовательное учреждение Плещеевская начальная школа - детский сад Переславского муниципального района Ярославской области ;152039 Ярославская  область, Переславский район, с. Новоселье, ул. Моисеева, д.11;7622015809;1107608001270;132/16;76А0! № 0000380;28.02.2014;28.02.2026;начального общего образования;10.06.2016;519/05-03;;;;;;;;;56.715569;38.714209
№ 166;Муниципальное образовательное учреждение Осеневская начальная общеобразовательная школа;152232, Ярославская обл., Гаврилов-Ямский р-н, с. Осенево, ул. Центральная, д. 1;7616005055;1027601069759;фев.56;ОП 006136;15.06.2010;15.06.2015;начального общего образования;;;;;;;;;;;57.235073;40.199582
№ 167;Муниципальное образовательное бюджетное учреждение Полянская основная общеобразовательная школа;Россия, 152250, Ярославская область, Гаврилов-Ямский  муниципальный  район, д. Поляна, ул. Клубная, д. 10;7616005048;1027601070298;74/15;76А01 № 0000153;05.05.2015;05.05.2027;начального общего образования, основного общего образования;;;;;;;;;;;57.387193;39.773861
№ 168;"муниципальное общеобразовательное бюджетное учреждение ""Пружининская средняя школа""";Россия, 152236, Ярославская область, Гаврилов-Ямский районн,  Митинский сельский округ, село Пружинино, ул. Центральная, д. 41;7616005143;1027601069781;44/16;76А01 № 0000342;25.11.2014;25.11.2026;Начальное общее образование, основное общее образование, среднее  общее образование ;24.02.2016;170/05-03;;;;;;;;;57.296142;40.173809
№ 169;"муниципальное общеобразовательное бюджетное учреждение ""Стогинская средняя  школа""";Россия, 152231, Ярославская область, Гаврилов-Ямский район, Стогинский сельский округ,  село  Стогинское, ул. Центральная, д. 16;7616005062;1027601069870;66/16;76А01 № 0000317;30.12.2013;30.12.2025;начальное общее образование, основное общее образование, среднее  общее образование;16.03.2016;262/05-03;;;;;;;;;57.236998;40.053776
№ 170;Муниципальное дошкольное образовательное учреждение Ильинский детский сад;152254, Ярославская обл., Гаврилов-Ямский р-н, с. Ильинское-Урусово, ул. Тенистая, д. 1;7616006524;1027601069814;янв.49;ДД 005475;11.03.2010;11.03.2015;дошкольного образования;;;;;;;;;;;57.4146;39.42934
№ 171;"муниципальное общеобразовательное учреждение ""Начальная школа № 5""";152023 Россия,  Ярославская область, г. Переславль-Залесский, ул. Кооперативная, д. 14;7608009095;1027601050905;183/15;76А01 № 0000239;29.01.2015;29.01.2027;Начальное общее  образование ;22.12.2015;722/05-03;;;;;;;;;56.745715;38.878555
№ 172;Муниципальное дошкольное образовательное учреждение Пружининский детский сад;152236, Ярославская обл., Гаврилов-Ямский р-н, Митинский с/о, с. Пружинино, ул. Центральная, д. 38;7616007180;1057601565240;янв.36;ДД 005518;24.05.2010;24.05.2015;дошкольного образования;;;;;;;;;;;57.296142;40.173809
№ 173;"Негосударственное дошкольное образовательное учреждение ""Детский сад ""Малыш""";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, Юбилейный пр-д, д. 6а;7616008296;1087600001114;янв.17;ДД 005553;30.09.2010;12.05.2015;дошкольного образования;;;;;;;;;;;57.300669;39.86637
№ 174;"Негосударственное дошкольное образовательное учреждение ""Детский сад ""Кораблик""";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, Юбилейный пр-д, д. 11а;7616008306;1087600001158;янв.23;ДД 005557;03.11.2010;12.05.2015;дошкольного образования;;;;;;;;;;;57.300655;39.87008
№ 175;"муниципальное общеобразовательное учреждение ""Средняя школа № 3""  г. Гаврилов-Яма  ";Россия, 152240, Ярославская область,  город  Гаврилов-Ям, ул. Чернышевского, д. 1;7616005190;1027601071629;153/15;76А  0000210;21.02.2014;21.02.2026;"начальное общеее образование;  основное общее образование среднее  общее образование";01.12.2015;617/05-03;;;;;;;;;57.293846;39.846185
№ 176;муниципальное бюджетное общеобразовательное учреждение средняя школа №2 им. В. И. Ленина г. Данилова Ярославской области;152070,  Российская Федерация, Ярославская область, г. Данилов, ул. Урицкого, 46;7617005964;1027601456893;ноя.16;76А01 № 0000269;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование ;"30.04.2013; 28.01.2016";"281/05-03; 55/05-03";;;;;;;;;58.191932;40.172103
№ 177;Муниципальное образовательное учреждение Кузьминская начальная общеобразовательная школа;152080, Россия, Ярославская область, Даниловский муниципальный район, деревня Кузьмино, улица Ярославская, дом 26;7617006446;1027601457564;фев.22;ОП 024145;24.05.2011;24.05.2023;общеобразовательная программа начального общего образования, общеобразовательная программа начального общего образования для обучающихся с ограниченными возможностями здоровья (VII вид);;;;;;;;;;;58.112567;40.251109
№ 178;муниципальное  бюджетное общеобразовательное учреждение Трофимовская основная  школа Даниловского района Ярославской области;152065, Российская Федерация,  Ярославская область, Даниловский район, д. Манжаково, ул. Солнечная, 1а;7617006380;1027601457608;112/16;76А01 № 0000363;24.05.2011;24.05.2023;"Начальное общее  образование, основное общее образование; среднее общее образование ";04.05.2016;435/05-03;;;;;;;;;57.903531;40.295531
№ 179;государственное профессиональное образовательное учреждение Ярославской области Даниловский политехнический колледж ;Российская Федерация, 152070, Ярославская область, г.Данилов, ул.Володарского, д. 83;7617007471;1067611019959;140/15;76А01 № 0000065;25.06.2013;25.06.2019;"Среднее профессиональное образование по программам подготовки  квалифицированных рабочих (служащих): 08.00.00  Техника и технологии строительства; 13.00.00  Электро- и  теплоэнергетика; 19.00.00 Промышленная экология и  биотехнологии; 23.00.00 Техника и технологии наземного транспорта; 29.00.00 Технологии легкой промышленности; 38.00.00 Экономика и управление; 43.00.00  Сервис и туризм;  среднее профессиональное образование по программам подготовки специалистов среднего звена:  23.00.00  Техника и технологии  наземного транспорта; 23.00.00 Техника и технологии наземного транспорта;   38.00.00 Экономикаи управление; ";"12.03.2014;  18.11.2015";"119/05-03;  563/05-03";;;;;;;;;58.1927;40.16188
№ 180;муниципальное общеобразовательное учреждение Ермаковская начальная общеобразовательная школа;152095, Ярославская обл., Даниловский р-н, д. Ермаково, ул. Центральная, д. 15;7617006541;1027601456970;фев.07;ОП 006112;12.05.2010;12.05.2015;начального общего образования;;;;;;;;;;;58.289029;39.815983
№ 181;"муниципальное общеобразовательное учреждение - ""Гимназия г.Переславля-Залесского"""; Ярославская область, г. Переславль-Залесский, улица  Менделеева, дом  36;7608009176;1027601050949;137/16;76А01 № 0000385; 30.04.2014;30.04.2026;Начальное общее образование,  основное общее  образование, среднее общее образование  ;20.06.2016;539/05-03;;;;;;;;;56.75259;38.878744
№ 182;Муниципальное  бюджетное  общеобразовательное учреждение Дмитриевская средняя  школа Даниловского района Ярославской области ;152060, Рпоссийская Федерация, Ярославская область, Даниловский район, с. Дмитриевское, ул. Южная, д. 28;7617006460;1027601457630;58/16;76А01 № 0000309;21.04.2014;21.04.2026;"Начальное общеее образование;  основное общее образование,  среднее  общее образование";10.03.2016;237/05-03;;;;;;;;;57.996439;40.177744
№ 183;Муниципальное бюджетное    общеобразовательное учреждение Макаровская средняя школа    Даниловского района Ярославской области ;152077, Российская Федерация, Ярославская обл., Даниловский муниципальный район, д. Макарово, ул. Вологодская, 18;7617006132;1027601458037;59/16;76А010000310;14.03.2014;14.03.2026;начальное общее образование, основное общее образование, среднее общее образование ;10.03.2016;238/05-03;;;;;;;;;58.311445;40.214862
№ 184;Муниципальное бюждетное  общеобразовательное учреждение Скоковская средняя школа Даниловского района Ярославской области;152084, Российская Федерация, Ярославская область, Даниловский район, д. Туфаново, ул. Колхозная, д.3;7617005996;1027601457510;60/16;76А01 № 0000311;16.03.2015;116.03.2027;Начальное общее образование, основное общее образование, среднее общее образование ;10.03.2016;239/05-03;;;;;;;;;57.993014;40.037167
№ 185;Муниципальное бюджетное  общеобразовательное учреждение Спасская средняя общеобразовательная школа Даниловского района Ярославской области ;152090,   Российская Федерация, Ярославская область, Даниловский район, с.Спас, улица Школьная, 2;7617002995;1027601456981;85/16;76А01 № 0000335;29.12.2014;29.12.2026;Начальное общее образование, основное общее  образование, среднее общее образование ;04.04.2016;334/05-03;;;;;;;;;58.20909;39.890319
186;Муниципальное бюджетное  общеобразовательное бюджетное учреждение Тороповская основная  школа Даниловского района Ярославской области ;152081, Российская Федерация,  Ярославская область, Даниловский район, с. Торопово, ул. Рабочая  2;7617006326;1027601457180;82/16;76А01 № 0000332;26.03.2015;26.03.2027;Начальное общее образование, основное общее образование ;29.03.2016;318/05-03;;;;;;;;;58.132273;39.953066
№ 187;муниципальное  общеобразовательное учреждение Милюшинская средняя общеобразовательная школа ;152952, Российская Федерация, Ярославская область,  Рыбинский район, деревня Милюшино, Приморская улица, дом 13 ;7610041040;1027601118511;219/16;76А01 № 0000466;19.02.2013;19.02.2025;Начальное общее образование, основное  общее образование,  среднее  общее  образование ;16.12.2016;962/05-03;;;;;;;;;58.292582;38.873175
№ 188;муниципальное бюджетное  общеобразовательное учреждение начальная школа - детский сад № 9 г. Данилова Ярославской области ;152071,  Российская Федерация,  Ярославская область,  г. Данилов, ул. Гражданская,  1;7617005989;1027601457410;77/16;76А01 № 0000327;27.05.2015;27.05.2027; Начальное общее образование ;29.03.2016;313/05-03;;;;;;;;;58.187558;40.19368
№ 189;муниципальное бюджетное  общеобразовательное учреждение средняя школа № 12 г. Данилова Ярославской области ;152070,  Российская Федерация, Ярославская область,  г. Данилов, ул. Урицкого, д. 58 а;7617006005;1027601457421;61/16;76А01 № 0000312;21.04.2014;21.04.2026;Начальное общее образование, основное  общее образование,  среднее  общее  образование ;10.03.2016;240/05-03;;;;;;;;;58.192567;40.17478
№ 190;Муниципальное специальное учебно-воспитательное учреждение, специальная общеобразовательная школа № 8 открытого типа;152021, Ярославская область, г. Переславль-Залесский, ул. Кардовского, д. 61;7608008951;1027601051653;129/13;76А01 № 0000163;22.05.2010;22.05.2024;основная общеобразовательная программа основного общего образования,  основная общеобразовательная программа основного общего образования специальных (коррекционных) образовательных учреждений для обучающихся с  ограниченными возможностями здоровья (VII вид);24.05.2013;375/05-03;;;;;;;;;56.72479;38.838266
